country,age,time,childhood
AUS,AGE_3,2010,71.775
AUS,AGE_3,2013,62.342
AUS,AGE_3,2014,69.361
AUS,AGE_3,2015,68.371
AUS,AGE_3,2016,63.336
AUS,AGE_3,2017,65.957
AUS,AGE_3,2018,65.068
AUS,AGE_3,2019,65.877
AUS,AGE_3,2020,64.954
AUS,AGE_4,2005,52.528
AUS,AGE_4,2010,51.378
AUS,AGE_4,2011,67.337
AUS,AGE_4,2012,75.611
AUS,AGE_4,2013,81.989
AUS,AGE_4,2014,85.164
AUS,AGE_4,2015,90.499
AUS,AGE_4,2016,90.769
AUS,AGE_4,2017,86.431
AUS,AGE_4,2018,87.25
AUS,AGE_4,2019,84.264
AUS,AGE_4,2020,82.27
AUS,AGE_5,2005,90.34
AUS,AGE_5,2010,98.699
AUS,AGE_5,2011,97.016
AUS,AGE_5,2012,100
AUS,AGE_5,2013,100
AUS,AGE_5,2014,100
AUS,AGE_5,2015,100
AUS,AGE_5,2016,100
AUS,AGE_5,2017,99.255
AUS,AGE_5,2018,99.99
AUS,AGE_5,2019,99.659
AUS,AGE_5,2020,96.996
AUT,AGE_3,2005,50.924
AUT,AGE_3,2010,66.388
AUT,AGE_3,2011,68.719
AUT,AGE_3,2012,70.075
AUT,AGE_3,2013,71.35
AUT,AGE_3,2014,72.884
AUT,AGE_3,2015,74.821
AUT,AGE_3,2016,75.783
AUT,AGE_3,2017,76.462
AUT,AGE_3,2018,77.28
AUT,AGE_3,2019,77.815
AUT,AGE_3,2020,77.851
AUT,AGE_4,2005,82.61
AUT,AGE_4,2010,89.93
AUT,AGE_4,2011,92.027
AUT,AGE_4,2012,91.252
AUT,AGE_4,2013,91.356
AUT,AGE_4,2014,91.874
AUT,AGE_4,2015,92.517
AUT,AGE_4,2016,92.722
AUT,AGE_4,2017,93.477
AUT,AGE_4,2018,93.94
AUT,AGE_4,2019,93.998
AUT,AGE_4,2020,93.928
AUT,AGE_5,2005,92.916
AUT,AGE_5,2010,95.508
AUT,AGE_5,2011,97.455
AUT,AGE_5,2012,96.722
AUT,AGE_5,2013,96.521
AUT,AGE_5,2014,96.018
AUT,AGE_5,2015,97.09
AUT,AGE_5,2016,96.995
AUT,AGE_5,2017,97.835
AUT,AGE_5,2018,98.037
AUT,AGE_5,2019,98.009
AUT,AGE_5,2020,97.745
BEL,AGE_3,2017,98.616
BEL,AGE_3,2018,98.488
BEL,AGE_3,2019,97.867
BEL,AGE_4,2016,98.325
BEL,AGE_4,2017,98.634
BEL,AGE_4,2018,98.303
BEL,AGE_4,2019,98.272
BEL,AGE_5,2016,98.249
BEL,AGE_5,2017,98.681
BEL,AGE_5,2018,98.681
BEL,AGE_5,2019,98.637
CZE,AGE_3,2005,65.604
CZE,AGE_3,2010,59.631
CZE,AGE_3,2011,58.511
CZE,AGE_3,2012,58.67
CZE,AGE_3,2013,58.931
CZE,AGE_3,2014,68.397
CZE,AGE_3,2015,77.258
CZE,AGE_3,2016,78.005
CZE,AGE_3,2017,79.099
CZE,AGE_3,2018,77.408
CZE,AGE_3,2019,77.633
CZE,AGE_3,2020,76.966
CZE,AGE_4,2005,91.412
CZE,AGE_4,2010,85.735
CZE,AGE_4,2011,83.697
CZE,AGE_4,2012,82.314
CZE,AGE_4,2013,82.669
CZE,AGE_4,2014,83.643
CZE,AGE_4,2015,85.299
CZE,AGE_4,2016,90.524
CZE,AGE_4,2017,88.379
CZE,AGE_4,2018,89.06
CZE,AGE_4,2019,87.082
CZE,AGE_4,2020,87.885
CZE,AGE_5,2005,97.461
CZE,AGE_5,2010,93.352
CZE,AGE_5,2011,92.21
CZE,AGE_5,2012,90.139
CZE,AGE_5,2013,88.936
CZE,AGE_5,2014,89.159
CZE,AGE_5,2015,90.652
CZE,AGE_5,2016,90.951
CZE,AGE_5,2017,95.647
CZE,AGE_5,2018,93.819
CZE,AGE_5,2019,94.377
CZE,AGE_5,2020,92.715
DNK,AGE_3,2010,95.887
DNK,AGE_3,2011,96.65
DNK,AGE_3,2012,96.224
DNK,AGE_3,2013,96.347
DNK,AGE_3,2014,96.281
DNK,AGE_3,2015,96.956
DNK,AGE_3,2016,96.585
DNK,AGE_3,2017,96.464
DNK,AGE_3,2018,98.312
DNK,AGE_3,2019,96.504
DNK,AGE_3,2020,96.432
DNK,AGE_4,2010,97.218
DNK,AGE_4,2011,97.719
DNK,AGE_4,2012,97.621
DNK,AGE_4,2013,97.469
DNK,AGE_4,2014,97.54
DNK,AGE_4,2015,97.974
DNK,AGE_4,2016,98.066
DNK,AGE_4,2017,98.044
DNK,AGE_4,2018,99.808
DNK,AGE_4,2019,98.129
DNK,AGE_4,2020,98.022
DNK,AGE_5,2010,97.632
DNK,AGE_5,2011,98.579
DNK,AGE_5,2012,98.672
DNK,AGE_5,2013,99.075
DNK,AGE_5,2014,98.661
DNK,AGE_5,2015,98.937
DNK,AGE_5,2016,98.223
DNK,AGE_5,2017,98.04
DNK,AGE_5,2018,100
DNK,AGE_5,2019,98.434
DNK,AGE_5,2020,98.32
FIN,AGE_3,2000,60.023
FIN,AGE_3,2005,62.348
FIN,AGE_3,2010,67.122
FIN,AGE_3,2011,67.864
FIN,AGE_3,2012,68.54
FIN,AGE_3,2013,68.175
FIN,AGE_3,2014,68.219
FIN,AGE_3,2015,68.373
FIN,AGE_3,2016,72.974
FIN,AGE_3,2017,73.496
FIN,AGE_3,2018,77.405
FIN,AGE_3,2019,80.423
FIN,AGE_3,2020,84.505
FIN,AGE_4,2000,67.026
FIN,AGE_4,2005,68.579
FIN,AGE_4,2010,73.469
FIN,AGE_4,2011,73.884
FIN,AGE_4,2012,74.189
FIN,AGE_4,2013,74.692
FIN,AGE_4,2014,73.934
FIN,AGE_4,2015,74.472
FIN,AGE_4,2016,79.271
FIN,AGE_4,2017,79.734
FIN,AGE_4,2018,82.608
FIN,AGE_4,2019,85.009
FIN,AGE_4,2020,88.103
FIN,AGE_5,2000,71.189
FIN,AGE_5,2005,73.294
FIN,AGE_5,2010,77.401
FIN,AGE_5,2011,79.089
FIN,AGE_5,2012,79.35
FIN,AGE_5,2013,79.697
FIN,AGE_5,2014,79.352
FIN,AGE_5,2015,78.819
FIN,AGE_5,2016,84.451
FIN,AGE_5,2017,85.005
FIN,AGE_5,2018,86.727
FIN,AGE_5,2019,89.487
FIN,AGE_5,2020,91.594
FRA,AGE_3,2005,100
FRA,AGE_3,2010,99.467
FRA,AGE_3,2011,99.571
FRA,AGE_3,2012,99.733
FRA,AGE_3,2013,99.208
FRA,AGE_3,2014,98.714
FRA,AGE_3,2015,99.557
FRA,AGE_3,2016,99.548
FRA,AGE_3,2017,99.862
FRA,AGE_3,2018,100
FRA,AGE_3,2019,100
FRA,AGE_3,2020,100
FRA,AGE_4,2005,100
FRA,AGE_4,2010,100
FRA,AGE_4,2011,100
FRA,AGE_4,2012,100
FRA,AGE_4,2013,100
FRA,AGE_4,2014,99.523
FRA,AGE_4,2015,100
FRA,AGE_4,2016,100
FRA,AGE_4,2017,100
FRA,AGE_4,2018,100
FRA,AGE_4,2019,100
FRA,AGE_4,2020,100
FRA,AGE_5,2005,100
FRA,AGE_5,2010,100
FRA,AGE_5,2011,100
FRA,AGE_5,2012,100
FRA,AGE_5,2013,100
FRA,AGE_5,2014,99.594
FRA,AGE_5,2015,100
FRA,AGE_5,2016,100
FRA,AGE_5,2017,100
FRA,AGE_5,2018,100
FRA,AGE_5,2019,100
FRA,AGE_5,2020,100
DEU,AGE_3,2005,80.472
DEU,AGE_3,2010,89.557
DEU,AGE_3,2011,94.791
DEU,AGE_3,2012,92.046
DEU,AGE_3,2013,92.221
DEU,AGE_3,2014,92.549
DEU,AGE_3,2015,93.32
DEU,AGE_3,2016,91.501
DEU,AGE_3,2017,91.183
DEU,AGE_3,2018,90.843
DEU,AGE_3,2019,90.447
DEU,AGE_3,2020,90.019
DEU,AGE_4,2005,88.907
DEU,AGE_4,2010,95.668
DEU,AGE_4,2011,96.839
DEU,AGE_4,2012,96.629
DEU,AGE_4,2013,96.785
DEU,AGE_4,2014,96.657
DEU,AGE_4,2015,96.681
DEU,AGE_4,2016,95.879
DEU,AGE_4,2017,95.15
DEU,AGE_4,2018,95.017
DEU,AGE_4,2019,94.927
DEU,AGE_4,2020,94.553
DEU,AGE_5,2005,92.989
DEU,AGE_5,2010,97.259
DEU,AGE_5,2011,98.033
DEU,AGE_5,2012,97.903
DEU,AGE_5,2013,98.179
DEU,AGE_5,2014,98.048
DEU,AGE_5,2015,98.075
DEU,AGE_5,2016,97.284
DEU,AGE_5,2017,97.639
DEU,AGE_5,2018,96.969
DEU,AGE_5,2019,96.723
DEU,AGE_5,2020,96.572
GRC,AGE_3,2013,16.215
GRC,AGE_3,2014,44
GRC,AGE_3,2015,26.031
GRC,AGE_3,2016,27.079
GRC,AGE_3,2017,30.411
GRC,AGE_3,2019,34.903
GRC,AGE_4,2005,55.031
GRC,AGE_4,2010,53.514
GRC,AGE_4,2011,55.589
GRC,AGE_4,2012,54.405
GRC,AGE_4,2013,58.725
GRC,AGE_4,2014,72.876
GRC,AGE_4,2015,66.289
GRC,AGE_4,2016,65.416
GRC,AGE_4,2017,70.492
GRC,AGE_4,2019,75.957
GRC,AGE_5,2005,78.519
GRC,AGE_5,2010,95.409
GRC,AGE_5,2011,97.027
GRC,AGE_5,2012,95.7
GRC,AGE_5,2013,95.836
GRC,AGE_5,2014,95.403
GRC,AGE_5,2015,94.077
GRC,AGE_5,2016,93.7
GRC,AGE_5,2017,91.966
GRC,AGE_5,2019,95.15
HUN,AGE_3,2015,81.185
HUN,AGE_3,2016,84.948
HUN,AGE_3,2017,84.999
HUN,AGE_3,2018,85.451
HUN,AGE_3,2019,87.175
HUN,AGE_3,2020,84.547
HUN,AGE_4,2015,95.132
HUN,AGE_4,2016,95.387
HUN,AGE_4,2017,95.572
HUN,AGE_4,2018,95.498
HUN,AGE_4,2019,96.159
HUN,AGE_4,2020,98.228
HUN,AGE_5,2015,95.363
HUN,AGE_5,2016,96.094
HUN,AGE_5,2017,95.55
HUN,AGE_5,2018,95.83
HUN,AGE_5,2019,95.482
HUN,AGE_5,2020,95.889
ISL,AGE_3,2000,86.904
ISL,AGE_3,2005,94.146
ISL,AGE_3,2010,95.274
ISL,AGE_3,2011,95.451
ISL,AGE_3,2012,96.123
ISL,AGE_3,2013,96.043
ISL,AGE_3,2014,96.393
ISL,AGE_3,2015,96.543
ISL,AGE_3,2016,96.414
ISL,AGE_3,2017,96.862
ISL,AGE_3,2018,96.621
ISL,AGE_3,2019,96.337
ISL,AGE_3,2020,96.653
ISL,AGE_4,2000,90.871
ISL,AGE_4,2005,95.313
ISL,AGE_4,2010,96.44
ISL,AGE_4,2011,96.776
ISL,AGE_4,2012,96.016
ISL,AGE_4,2013,96.766
ISL,AGE_4,2014,96.785
ISL,AGE_4,2015,97.317
ISL,AGE_4,2016,97.058
ISL,AGE_4,2017,97.541
ISL,AGE_4,2018,97.113
ISL,AGE_4,2019,97.015
ISL,AGE_4,2020,96.08
ISL,AGE_5,2000,92.751
ISL,AGE_5,2005,96.28
ISL,AGE_5,2010,95.215
ISL,AGE_5,2011,96.224
ISL,AGE_5,2012,98.327
ISL,AGE_5,2013,95.622
ISL,AGE_5,2014,96.699
ISL,AGE_5,2015,97.785
ISL,AGE_5,2016,97.63
ISL,AGE_5,2017,97.861
ISL,AGE_5,2018,97.607
ISL,AGE_5,2019,97.017
ISL,AGE_5,2020,96.602
IRL,AGE_3,2017,92.482
IRL,AGE_3,2018,98.088
IRL,AGE_3,2019,99.179
IRL,AGE_3,2020,95.628
IRL,AGE_4,2017,100
IRL,AGE_4,2018,100
IRL,AGE_4,2019,100
IRL,AGE_4,2020,100
IRL,AGE_5,2017,100
IRL,AGE_5,2018,100
IRL,AGE_5,2019,100
IRL,AGE_5,2020,100
ITA,AGE_3,2005,98.541
ITA,AGE_3,2010,94.833
ITA,AGE_3,2011,94.434
ITA,AGE_3,2012,95.105
ITA,AGE_3,2013,94.409
ITA,AGE_3,2014,92.041
ITA,AGE_3,2015,92.068
ITA,AGE_3,2016,92.396
ITA,AGE_3,2017,91.255
ITA,AGE_3,2018,90.927
ITA,AGE_3,2019,92.214
ITA,AGE_3,2020,92.065
ITA,AGE_4,2005,100
ITA,AGE_4,2010,98.538
ITA,AGE_4,2011,98.655
ITA,AGE_4,2012,98.8
ITA,AGE_4,2013,98.497
ITA,AGE_4,2014,96.053
ITA,AGE_4,2015,95.771
ITA,AGE_4,2016,95.863
ITA,AGE_4,2017,94.545
ITA,AGE_4,2018,94.435
ITA,AGE_4,2019,95.44
ITA,AGE_4,2020,95.401
ITA,AGE_5,2005,100
ITA,AGE_5,2010,99.486
ITA,AGE_5,2011,99.64
ITA,AGE_5,2012,99.572
ITA,AGE_5,2013,98.886
ITA,AGE_5,2014,96.992
ITA,AGE_5,2015,96.66
ITA,AGE_5,2016,96.416
ITA,AGE_5,2017,95.656
ITA,AGE_5,2018,95.405
ITA,AGE_5,2019,96.512
ITA,AGE_5,2020,96.337
JPN,AGE_3,2005,68.906
JPN,AGE_3,2010,75.229
JPN,AGE_3,2011,76.734
JPN,AGE_3,2012,77.996
JPN,AGE_3,2013,81.408
JPN,AGE_3,2014,81.282
JPN,AGE_3,2015,80.578
JPN,AGE_3,2016,84.365
JPN,AGE_3,2017,82.985
JPN,AGE_3,2018,82.817
JPN,AGE_3,2019,85.228
JPN,AGE_3,2020,85.442
JPN,AGE_4,2005,94.682
JPN,AGE_4,2010,97.199
JPN,AGE_4,2011,92.746
JPN,AGE_4,2012,93.755
JPN,AGE_4,2013,94.871
JPN,AGE_4,2014,95.551
JPN,AGE_4,2015,94.994
JPN,AGE_4,2016,94.691
JPN,AGE_4,2017,95.42
JPN,AGE_4,2018,95.552
JPN,AGE_4,2019,98.953
JPN,AGE_4,2020,100
JPN,AGE_5,2005,98.991
JPN,AGE_5,2010,98.557
JPN,AGE_5,2011,97.098
JPN,AGE_5,2012,94.632
JPN,AGE_5,2013,96.929
JPN,AGE_5,2014,96.028
JPN,AGE_5,2015,97.542
JPN,AGE_5,2016,96.026
JPN,AGE_5,2017,95.676
JPN,AGE_5,2018,96.795
JPN,AGE_5,2019,97.574
JPN,AGE_5,2020,99.382
KOR,AGE_3,2010,79.504
KOR,AGE_3,2011,86.026
KOR,AGE_3,2012,88.894
KOR,AGE_3,2013,92.717
KOR,AGE_3,2014,90.008
KOR,AGE_3,2015,92.349
KOR,AGE_3,2016,96.709
KOR,AGE_3,2017,93.7
KOR,AGE_3,2018,92.251
KOR,AGE_3,2019,95.723
KOR,AGE_3,2020,98.803
KOR,AGE_4,2010,84.307
KOR,AGE_4,2011,84.606
KOR,AGE_4,2012,89.329
KOR,AGE_4,2013,94.422
KOR,AGE_4,2014,92.91
KOR,AGE_4,2015,90.628
KOR,AGE_4,2016,92.992
KOR,AGE_4,2017,97.482
KOR,AGE_4,2018,93.804
KOR,AGE_4,2019,91.461
KOR,AGE_4,2020,93.961
KOR,AGE_5,2010,90.242
KOR,AGE_5,2011,87.122
KOR,AGE_5,2012,89.28
KOR,AGE_5,2013,91.979
KOR,AGE_5,2014,94.817
KOR,AGE_5,2015,92.7
KOR,AGE_5,2016,90.453
KOR,AGE_5,2017,93.018
KOR,AGE_5,2018,97.241
KOR,AGE_5,2019,92.861
KOR,AGE_5,2020,89.947
LUX,AGE_3,2005,61.981
LUX,AGE_3,2010,72.609
LUX,AGE_3,2011,72.035
LUX,AGE_3,2012,73.069
LUX,AGE_3,2013,70.872
LUX,AGE_3,2014,68.942
LUX,AGE_3,2015,65.837
LUX,AGE_3,2016,67.334
LUX,AGE_3,2017,69.703
LUX,AGE_3,2018,69.439
LUX,AGE_3,2019,68.983
LUX,AGE_3,2020,71.411
LUX,AGE_4,2005,95.425
LUX,AGE_4,2010,96.573
LUX,AGE_4,2011,94.572
LUX,AGE_4,2012,97.888
LUX,AGE_4,2013,99.301
LUX,AGE_4,2014,97.793
LUX,AGE_4,2015,94.794
LUX,AGE_4,2016,92.901
LUX,AGE_4,2017,95.107
LUX,AGE_4,2018,96.667
LUX,AGE_4,2019,97.749
LUX,AGE_4,2020,97.933
LUX,AGE_5,2005,94.073
LUX,AGE_5,2010,92.727
LUX,AGE_5,2011,96.686
LUX,AGE_5,2012,97.803
LUX,AGE_5,2013,99.564
LUX,AGE_5,2014,99.014
LUX,AGE_5,2015,98.563
LUX,AGE_5,2016,95.444
LUX,AGE_5,2017,98.202
LUX,AGE_5,2018,95.621
LUX,AGE_5,2019,97.964
LUX,AGE_5,2020,98.801
MEX,AGE_3,2005,26.12
MEX,AGE_3,2010,37.221
MEX,AGE_3,2011,40.135
MEX,AGE_3,2012,42.464
MEX,AGE_3,2013,43.589
MEX,AGE_3,2014,42.695
MEX,AGE_3,2015,45.36
MEX,AGE_3,2016,44.791
MEX,AGE_3,2017,46.629
MEX,AGE_3,2018,46.039
MEX,AGE_3,2019,46.295
MEX,AGE_3,2020,46.787
MEX,AGE_4,2005,70.08
MEX,AGE_4,2010,84.686
MEX,AGE_4,2011,85.74
MEX,AGE_4,2012,87.326
MEX,AGE_4,2013,88.512
MEX,AGE_4,2014,88.908
MEX,AGE_4,2015,88.706
MEX,AGE_4,2016,89.999
MEX,AGE_4,2017,91.188
MEX,AGE_4,2018,91.245
MEX,AGE_4,2019,89.118
MEX,AGE_4,2020,88.874
MEX,AGE_5,2005,97.826
MEX,AGE_5,2010,100
MEX,AGE_5,2011,100
MEX,AGE_5,2012,100
MEX,AGE_5,2013,100
MEX,AGE_5,2014,100
MEX,AGE_5,2015,100
MEX,AGE_5,2016,100
MEX,AGE_5,2017,100
MEX,AGE_5,2018,100
MEX,AGE_5,2019,100
MEX,AGE_5,2020,100
NLD,AGE_3,2010,83.835
NLD,AGE_3,2011,86.672
NLD,AGE_3,2012,83.353
NLD,AGE_3,2013,83.203
NLD,AGE_3,2014,80.571
NLD,AGE_3,2015,82.746
NLD,AGE_3,2016,86.313
NLD,AGE_3,2017,88.112
NLD,AGE_3,2018,74.294
NLD,AGE_3,2019,76.885
NLD,AGE_3,2020,80.723
NLD,AGE_4,2005,98.435
NLD,AGE_4,2010,99.585
NLD,AGE_4,2011,99.576
NLD,AGE_4,2012,99.615
NLD,AGE_4,2013,99.722
NLD,AGE_4,2014,96.137
NLD,AGE_4,2015,96.002
NLD,AGE_4,2016,96.01
NLD,AGE_4,2017,96.082
NLD,AGE_4,2018,94.918
NLD,AGE_4,2019,95.416
NLD,AGE_4,2020,95.111
NLD,AGE_5,2005,99.671
NLD,AGE_5,2010,99.299
NLD,AGE_5,2011,99.507
NLD,AGE_5,2012,99.562
NLD,AGE_5,2013,99.344
NLD,AGE_5,2014,99.16
NLD,AGE_5,2015,99.238
NLD,AGE_5,2016,99.209
NLD,AGE_5,2017,99.024
NLD,AGE_5,2018,98.906
NLD,AGE_5,2019,99.087
NLD,AGE_5,2020,98.962
NZL,AGE_3,2005,88.228
NZL,AGE_3,2010,92.902
NZL,AGE_3,2011,91.697
NZL,AGE_3,2012,92.574
NZL,AGE_3,2013,87.404
NZL,AGE_3,2014,87.881
NZL,AGE_3,2015,89.282
NZL,AGE_3,2016,88.279
NZL,AGE_3,2017,90.24
NZL,AGE_3,2018,87.878
NZL,AGE_3,2019,83.861
NZL,AGE_3,2020,81.279
NZL,AGE_4,2005,97.291
NZL,AGE_4,2010,99.698
NZL,AGE_4,2011,99.612
NZL,AGE_4,2012,99.146
NZL,AGE_4,2013,92.255
NZL,AGE_4,2014,92.407
NZL,AGE_4,2015,94.328
NZL,AGE_4,2016,92.319
NZL,AGE_4,2017,94.998
NZL,AGE_4,2018,92.896
NZL,AGE_4,2019,88.609
NZL,AGE_4,2020,86.933
NZL,AGE_5,2005,100
NZL,AGE_5,2010,100
NZL,AGE_5,2011,100
NZL,AGE_5,2012,99.568
NZL,AGE_5,2013,99.326
NZL,AGE_5,2014,98.194
NZL,AGE_5,2015,97.485
NZL,AGE_5,2016,97.885
NZL,AGE_5,2017,97.063
NZL,AGE_5,2018,96.41
NZL,AGE_5,2019,98.481
NZL,AGE_5,2020,97.718
NOR,AGE_3,2000,70.858
NOR,AGE_3,2005,82.777
NOR,AGE_3,2010,94.545
NOR,AGE_3,2011,95.078
NOR,AGE_3,2012,95.112
NOR,AGE_3,2013,95.292
NOR,AGE_3,2014,95.266
